target,r2
LBXSKSI,0.2731623232974649
LBXSCH,0.27263247889452147
LBXSCA,0.2723053805561947
LBXSAL,0.27103436374109346
LBXSUA,0.26972367548477305
LBXSGL,0.22430305303294584
LBXSBU,0.2127877253467162
LBXSCR,0.18227418106967042
LBXSTR,0.133650160488459
LBXHGB,0.11692794154062758
LBXHCT,0.115974363271511
LBXMCVSI,0.10975715676981168
LBXMCHSI,0.1042416558320709
LBXSAPSI,0.08504094285874153
LBXRBCSI,0.06753024513604222
LBXRDW,0.062304763510843575
